timepoint,well,condition,condition_tag,Mg++ [mM],T7RNAP [ng/uL],ribosome [uM],DNA [nM],energy_mix,protein_mix,fluorescence [AU],background_fluorescence [AU],background_subtracted_fluorescence [AU],row,column
1,O:21,exp,exp,24,10,2.16,35,b.next eng mix,b.next prot mix 03-1,1541947,1589516.5,-47569.5,O,21
1,O:23,exp,exp,26,10,2.16,35,b.next eng mix,b.next prot mix 03-1,1410497,1589516.5,-179019.5,O,23
2,A:1,exp,exp,4,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1357841,1457017.25,-99176.25,A,1
2,A:3,exp,exp,6,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1375473,1457017.25,-81544.25,A,3
2,A:5,exp,exp,8,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1407452,1457017.25,-49565.25,A,5
2,A:7,exp,exp,10,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1467318,1457017.25,10300.75,A,7
2,A:9,exp,exp,12,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1421603,1457017.25,-35414.25,A,9
2,A:11,exp,exp,14,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1476633,1457017.25,19615.75,A,11
2,A:13,exp,exp,16,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1482633,1457017.25,25615.75,A,13
2,A:15,exp,exp,18,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1399311,1457017.25,-57706.25,A,15
2,A:17,exp,exp,20,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1401786,1457017.25,-55231.25,A,17
2,A:19,exp,exp,22,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1382208,1457017.25,-74809.25,A,19
2,A:21,exp,exp,24,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1349329,1457017.25,-107688.25,A,21
2,A:23,exp,exp,26,2.5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1319738,1457017.25,-137279.25,A,23
2,B:24,NEB (-),control,,,,0,NEB SolA,NEB SolB,2332121,1457017.25,875103.75,B,24
2,B:18,ProtMix Control,control,,,,35,b.next eng mix,NEB SolB,1451837,1457017.25,-5180.25,B,18
2,B:12,H2O,control,,,,0,H2O,H2O,1486634,1457017.25,29616.75,B,12
2,B:6,NEB (+),control,,,,35,NEB SolA,NEB SolB,2729094,1457017.25,1272076.75,B,6
2,C:1,exp,exp,4,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1394586,1457017.25,-62431.25,C,1
2,C:3,exp,exp,6,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1407035,1457017.25,-49982.25,C,3
2,C:5,exp,exp,8,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1423855,1457017.25,-33162.25,C,5
2,C:7,exp,exp,10,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1559602,1457017.25,102584.75,C,7
2,C:9,exp,exp,12,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1419546,1457017.25,-37471.25,C,9
2,C:11,exp,exp,14,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1634540,1457017.25,177522.75,C,11
2,C:13,exp,exp,16,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1629363,1457017.25,172345.75,C,13
2,C:15,exp,exp,18,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1506816,1457017.25,49798.75,C,15
2,C:17,exp,exp,20,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1474642,1457017.25,17624.75,C,17
2,C:19,exp,exp,22,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1452596,1457017.25,-4421.25,C,19
2,C:21,exp,exp,24,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1441422,1457017.25,-15595.25,C,21
2,C:23,exp,exp,26,5,1.8,35,b.next eng mix,b.next prot mix dT7RNAP 03-1,1370277,1457017.25,-86740.25,C,23
2,E:1,exp,exp,4,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1394719,1457017.25,-62298.25,E,1
2,E:3,exp,exp,6,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1392375,1457017.25,-64642.25,E,3
2,E:5,exp,exp,8,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1507874,1457017.25,50856.75,E,5
2,E:7,exp,exp,10,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1621411,1457017.25,164393.75,E,7
2,E:9,exp,exp,12,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1445490,1457017.25,-11527.25,E,9
2,E:11,exp,exp,14,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1557062,1457017.25,100044.75,E,11
2,E:13,exp,exp,16,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1657989,1457017.25,200971.75,E,13
2,E:15,exp,exp,18,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1568809,1457017.25,111791.75,E,15
2,E:17,exp,exp,20,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1500485,1457017.25,43467.75,E,17
2,E:19,exp,exp,22,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1414030,1457017.25,-42987.25,E,19
2,E:21,exp,exp,24,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1456105,1457017.25,-912.25,E,21
2,E:23,exp,exp,26,10,1.8,35,b.next eng mix,b.next prot mix 03-1,1351554,1457017.25,-105463.25,E,23
2,F:24,ProtMix Control,control,,,,35,b.next eng mix,NEB SolB,1381640,1457017.25,-75377.25,F,24
2,F:18,H2O,control,,,,0,H2O,H2O,1476585,1457017.25,19567.75,F,18
2,F:12,NEB (+),control,,,,35,NEB SolA,NEB SolB,2632236,1457017.25,1175218.75,F,12
2,F:6,NEB (-),control,,,,0,NEB SolA,NEB SolB,1477364,1457017.25,20346.75,F,6
2,G:1,exp,exp,4,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1443330,1457017.25,-13687.25,G,1
2,G:3,exp,exp,6,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1431498,1457017.25,-25519.25,G,3
2,G:5,exp,exp,8,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1454877,1457017.25,-2140.25,G,5
2,G:7,exp,exp,10,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1522317,1457017.25,65299.75,G,7
2,G:9,exp,exp,12,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1439704,1457017.25,-17313.25,G,9
2,G:11,exp,exp,14,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1584154,1457017.25,127136.75,G,11
2,G:13,exp,exp,16,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1605406,1457017.25,148388.75,G,13
2,G:15,exp,exp,18,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1557566,1457017.25,100548.75,G,15
2,G:17,exp,exp,20,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1488999,1457017.25,31981.75,G,17
2,G:19,exp,exp,22,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1410361,1457017.25,-46656.25,G,19
2,G:21,exp,exp,24,15,1.8,35,b.next eng mix,b.next prot mix 03-1,1469520,1457017.25,12502.75,G,21
