,Well,Label,Tag,Mg,T7RNAP,Ribosome,EnergyMix,ProtMix,DNA,Row,Column
78,M:19,exp,exp,22.0,10.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,M,19
79,O:19,exp,exp,22.0,10.0,2.16,b.next eng mix,b.next prot mix 03-1,deGFP,O,19
80,A:21,exp,exp,24.0,2.5,1.8,b.next eng mix,b.next prot mix dT7RNAP 03-1,deGFP,A,21
81,C:21,exp,exp,24.0,5.0,1.8,b.next eng mix,b.next prot mix dT7RNAP 03-1,deGFP,C,21
82,E:21,exp,exp,24.0,10.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,E,21
83,G:21,exp,exp,24.0,15.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,G,21
84,I:21,exp,exp,24.0,10.0,0.9,b.next eng mix,b.next prot mix 03-1,deGFP,I,21
85,K:21,exp,exp,24.0,10.0,1.26,b.next eng mix,b.next prot mix 03-1,deGFP,K,21
86,M:21,exp,exp,24.0,10.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,M,21
87,O:21,exp,exp,24.0,10.0,2.16,b.next eng mix,b.next prot mix 03-1,deGFP,O,21
88,A:23,exp,exp,26.0,2.5,1.8,b.next eng mix,b.next prot mix dT7RNAP 03-1,deGFP,A,23
89,C:23,exp,exp,26.0,5.0,1.8,b.next eng mix,b.next prot mix dT7RNAP 03-1,deGFP,C,23
90,E:23,exp,exp,26.0,10.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,E,23
91,G:23,exp,exp,26.0,15.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,G,23
92,I:23,exp,exp,26.0,10.0,0.9,b.next eng mix,b.next prot mix 03-1,deGFP,I,23
93,K:23,exp,exp,26.0,10.0,1.26,b.next eng mix,b.next prot mix 03-1,deGFP,K,23
94,M:23,exp,exp,26.0,10.0,1.8,b.next eng mix,b.next prot mix 03-1,deGFP,M,23
95,O:23,exp,exp,26.0,10.0,2.16,b.next eng mix,b.next prot mix 03-1,deGFP,O,23
96,B:6,NEB (+),control,,,,NEB SolA,NEB SolB,deGFP,B,6
97,F:12,NEB (+),control,,,,NEB SolA,NEB SolB,deGFP,F,12
98,J:18,NEB (+),control,,,,NEB SolA,NEB SolB,deGFP,J,18
99,N:24,NEB (+),control,,,,NEB SolA,NEB SolB,deGFP,N,24
100,F:6,NEB (-),control,,,,NEB SolA,NEB SolB,H2O,F,6
101,J:12,NEB (-),control,,,,NEB SolA,NEB SolB,H2O,J,12
102,N:18,NEB (-),control,,,,NEB SolA,NEB SolB,H2O,N,18
103,B:24,NEB (-),control,,,,NEB SolA,NEB SolB,H2O,B,24
104,J:6,ProtMix Control,control,,,,b.next eng mix,NEB SolB,deGFP,J,6
105,N:12,ProtMix Control,control,,,,b.next eng mix,NEB SolB,deGFP,N,12
106,B:18,ProtMix Control,control,,,,b.next eng mix,NEB SolB,deGFP,B,18
107,F:24,ProtMix Control,control,,,,b.next eng mix,NEB SolB,deGFP,F,24
108,N:6,H2O,control,,,,H2O,H2O,H2O,N,6
109,B:12,H2O,control,,,,H2O,H2O,H2O,B,12
110,F:18,H2O,control,,,,H2O,H2O,H2O,F,18
111,J:24,H2O,control,,,,H2O,H2O,H2O,J,24
